Row.names	logFC	logCPM	PValue	FDR	level	Kindom	Phylum	Class	Order	Family	Genus	Species	Hya1	Hya2	Hya3	Hya4	Hya7	Hya5	Ischy1	Ischy2	Ischy3	Hya6	SYA	SYB	SYC	KA10	KA11	KA12	KA13	KA14	KA2	KA3	KA4	KA5	KA6	KA8	KA9	Hya8	Hya9	XM1	XM10	XM12.1	XM12.2	XM2	XM4	XM5	XM6	XM7	XM9	SRR5757138	SRR5757140	SRR5757145	SRR5757146	SRR5757148	SRR5757149	SRR5757154	SRR5757155	SRR5757156	SRR5757158	SRR5757159	SRR5757161
ASV62	8.53687591	10.70511287	0.00362278	0.001210677	Enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Tepidibacter	Unassigned	79	19	173	239	29	212	0	0	0	162	0	78	30	0	0	0	0	0	0	0	0	0	0	0	0	360	571	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV56	8.455053143	10.63095756	0.010209152	0.002748887	Enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Epulopiscium	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	265	279	35	10	36	114	16	1380	90	0	0	0	0	0	0	0	0	0	0	0	0
ASV55	8.220864383	10.41105509	0.025393749	0.005224566	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Cocleimonas	Unassigned	0	0	11	4	0	0	714	1050	431	25	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV146	8.13604858	10.30544098	0.003787254	0.001256728	Enriched	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unassigned	0	0	0	0	0	0	1	0	0	0	0	0	0	26	73	42	15	6	0	39	0	179	18	0	24	43	28	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV86	8.125063812	10.3100218	0.052378903	0.009640992	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	Unassigned	0	0	0	0	0	37	0	0	0	58	57	895	217	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV156	8.073252291	10.24470611	0.008597956	0.002425962	Enriched	Bacteria	Firmicutes	Bacilli	Gemellales	Gemellaceae	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	47	25	34	8	5	5	65	1	111	25	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV165	8.04949139	10.21868938	0.013139841	0.003310959	Enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	[Tissierellaceae]	Finegoldia	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	15	33	46	26	2	3	206	0	49	2	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV60	8.046536864	10.25012354	0.005869397	0.001750418	Enriched	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	[Weeksellaceae]	Elizabethkingia	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	124	63	382	551	43	381	49	72	69	329	0	0	0	0	0	0	0	0	0	0	0	0
ASV69	7.995925233	10.20020173	0.004235451	0.001385934	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	50	139	18	199	412	251	119	0	90	12	328	0	0	0	0	0	0	0	0	0	0	0	0
ASV173	7.943660034	10.12143401	0.028281826	0.005744136	Enriched	Bacteria	Tenericutes	Mollicutes	Unassigned	Unassigned	Unassigned	Unassigned	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	16	1	2	188	20	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV79	7.926403428	10.1379535	0.007395856	0.002137992	Enriched	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Algibacter	Unassigned	109	594	50	19	478	45	0	2	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	53	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV61	7.884187431	12.44852653	0.014189539	0.003516826	Enriched	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	212	267	205	84	25	2	151	1	627	91	0	294	0	0	0	0	18	0	0	0	0	0	0	29	2	0	0	0	1	0	0	0	0	0	0	0
ASV182	7.868826313	10.03894032	0.013327692	0.00334043	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	59	38	77	26	2	0	5	1	57	9	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV78	7.826642326	10.04626172	0.003228604	0.001110451	Enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	17	3	0	1	0	0	24	98	169	37	0	86	45	53	840	42	0	0	0	0	0	0	0	0	0	0	0	0
ASV106	7.785525583	10.00737196	0.23869137	0.030562873	NotSig	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Caldanaerocella	Unassigned	2	0	0	844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV83	7.605266793	9.847113618	0.009190089	0.002547276	Enriched	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	SC3-41	Unassigned	Unassigned	3	0	0	0	3	3	381	298	612	10	0	0	0	2	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV80	7.52252325	12.05715134	0.047126714	0.008777118	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	199	61	72	63	20	0	111	5	457	68	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV107	7.464702172	9.707974765	2.86E-05	1.87E-05	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Unassigned	Unassigned	36	10	21	93	26	84	72	35	16	31	0	10	0	0	0	0	0	3	0	0	0	0	0	9	0	23	15	0	132	0	0	89	4	40	31	64	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV87	7.416873233	9.681522542	0.015561166	0.003667815	Enriched	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	[Clostridium]	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	121	0	97	127	99	0	0	9	62	271	17	0	0	0	0	0	0	0	0	0	0	0	0
ASV88	7.413718333	9.677491775	0.017795741	0.004012131	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	Unassigned	0	7	0	7	12	16	345	443	368	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV167	7.351228584	9.601782635	0.014291695	0.003516826	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	5	111	15	1	1	0	11	12	25	13	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV163	7.348306649	9.57598911	0.001799471	0.000667646	Enriched	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	[Weeksellaceae]	Unassigned	Unassigned	10	6	0	0	7	15	0	0	0	10	0	178	0	7	14	12	21	1	0	33	0	60	18	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV92	7.268376822	9.551110261	0.038963171	0.007432974	Enriched	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Kordia	Unassigned	0	28	0	3	15	2	341	497	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV100	7.206685691	9.494584935	0.010011886	0.002726937	Enriched	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutimonas	Unassigned	41	159	11	0	101	168	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	151	0	45	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV219	7.178861823	9.418085828	0.020373555	0.004385766	Enriched	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Alloiococcus	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	17	25	29	11	3	1	71	0	44	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV18	7.175928647	14.22490237	0.095701441	0.015878352	NotSig	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Unassigned	Unassigned	Unassigned	0	0	0	0	0	1	0	0	0	155	1923	497	720	0	0	0	0	0	0	0	7599	0	139	0	0	9	0	0	0	0	0	0	0	2	0	15	0	0	0	13	0	0	0	0	0	0	0	0	0
ASV200	7.131769018	9.387300101	0.028411113	0.005745629	Enriched	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	20	36	61	3	0	0	1	0	70	15	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV5	7.096806615	15.871883	0.02972872	0.005885787	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Pseudoalteromonadaceae	Vibrio	Unassigned	41	25	26	34	19	38	0	0	0	1070	9234	4239	9147	0	0	0	0	0	0	0	0	0	0	0	0	84	72	0	0	0	66	0	0	20	0	0	0	0	0	34	0	0	7	9	2	0	1	0	0
ASV242	6.938410525	9.197578663	0.020814855	0.004437991	Enriched	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	5	18	12	17	2	0	76	0	23	7	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV112	6.924362743	9.249738692	0.008964774	0.002514406	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella	Unassigned	0	0	0	0	0	0	157	133	209	0	0	25	0	0	0	0	0	5	0	1	2	0	2	0	0	0	0	0	17	0	0	0	31	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV223	6.923937692	9.209617325	0.02058298	0.0044085	Enriched	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	[Prevotella]	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	6	61	17	4	2	0	58	0	42	10	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV97	6.919655164	10.35248915	0.005036541	0.001571668	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	835	26	1	0	6	3	25	31	53	4	9	0	10	14	26	3	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV90	6.862785813	11.91112588	0.064305523	0.0113486	NotSig	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zhouia	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	85	45	511	193	0	61	57	26	206	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV37	6.784168386	13.64396428	0.000483912	0.000221378	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Unassigned	17	4	0	0	2	0	13	0	0	0	0	0	0	267	532	428	355	62	15	994	3	714	267	3	371	0	0	3	896	13	239	0	46	4	29	62	28	6	3	0	0	0	0	4	1	2	0	2	0
ASV143	6.67194588	9.026257169	0.005975204	0.001770765	Enriched	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	koll13	Unassigned	Unassigned	0	0	0	0	0	0	9	0	3	0	0	0	0	8	0	0	0	0	0	5	0	4	0	0	0	0	0	27	150	0	0	39	115	37	7	121	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV132	6.646529809	9.011021856	0.002587068	0.000909721	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Unassigned	Unassigned	4	11	2	19	27	19	180	188	21	12	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	64	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV31	6.634027263	12.14622148	0.014446706	0.003527092	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Unassigned	Unassigned	Unassigned	434	383	527	577	419	2224	18	33	30	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	223	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	1
ASV179	6.622946482	8.98622505	0.020040573	0.004371814	Enriched	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Unassigned	Unassigned	0	11	187	44	5	2	36	20	26	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV144	6.588045232	8.958755872	0.001713558	0.000645943	Enriched	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	Unassigned	Unassigned	8	0	0	0	0	0	65	17	3	12	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	34	99	18	0	24	0	45	56	132	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV269	6.583693072	8.866571008	0.016121448	0.003758715	Enriched	Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	planctomycete	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	20	2	11	0	25	0	2	15	21	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV135	6.547567206	8.938797285	0.11878252	0.018411291	NotSig	Bacteria	[Thermi]	Deinococci	Deinococcales	Trueperaceae	Unassigned	Unassigned	0	0	0	0	0	0	286	139	133	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV133	6.521432564	8.914185453	0.02920107	0.005855125	Enriched	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Haloferula	Unassigned	99	0	0	23	0	19	0	0	0	34	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	169	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV19	6.516510125	13.00104275	0.000354984	0.000168958	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	880	2105	562	1151	2166	514	193	188	447	933	0	0	0	6	0	7	0	8	0	2	10	0	15	0	0	992	87	0	53	72	35	0	0	516	0	14	0	0	0	1	4	3	2	3	0	0	0	0	1
ASV245	6.500370642	8.819578427	0.011218782	0.002920602	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	14	14	1	1	15	0	33	0	0	27	0	0	0	0	0	32	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV126	6.466384423	8.872569386	0.084839186	0.014226414	NotSig	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hellea	Unassigned	0	0	0	0	0	5	262	294	63	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
